Stage	tissue	Chinese	name	layer	Mark
Larva	Salivary Gland	唾液腺	Sg	ectoderm	Digestive system
Larva	Eye-Antennal disc	眼触角盘	Ey	ectoderm	Nervous system
Larva	Brain disc	脑盘	Br	ectoderm	Nervous system
Larva	VNC disc	腹神经索盘	Vc	ectoderm	Nervous system
Larva	Leg-Disc vT1	腿盘VT1	L1	ectoderm	Legs
Larva	Leg-Disc vT2	腿盘VT2	L2	ectoderm	Legs
Larva	Leg-Disc vT3	腿盘VT3	L3	ectoderm	Legs
Larva	Wing-Disc	翼盘	Wg	ectoderm	Appendages
Larva	Haltere disc	三角盘	Hl	ectoderm	Appendages
Larva	Midgut	中肠	Mg	endoderm	Digestive system
Larva	Hindgut	后肠	Hg	ectoderm	Digestive system
Larva	Fat-Body	脂肪体	Fb	mesoderm	Others
Larva	Malpighian tubule	马氏管	Mp	ectoderm	Others
Larva	Gonad	性腺	Gd	germline	Reproductive system
Larva	Genitalia disc	生殖器盘	Ge	ectoderm	Reproductive system
Larva	Tracheae	气管	Tr	ectoderm	Others
Larva	Mouthparts(Mo)	口器	Mo	ectoderm	Digestive system
Larva	Foregut	前肠	Fg	ectoderm	Digestive system
